TESTIMONIAL_ID,SENTENCE_ID,SENTENCE,POS_SENTIMENT
1691912,2,This is a perfect bag for stand alone use carrying the basics like credit cards cash cell phone or for use as a wallet by slipping inside a larger bag,1
1774935,1,excellent organizational tool for packing,1
1771914,1,Very well made of a durable material with many compartments to keep everything organized visible and easy to access,1
1814735,1,Just the right side,0
1598881,1,There are wonderful pockets inside and out holds my laptop securely and easily and still looks like a fashionable purse,1
1539417,2,I was looking for a bag that would hold my tablet along with my regular purse items,0
1635933,0,I definitely want some protection on my iPad and this bag allows space for a tight squeeze,0
1762532,2,nice design easy to store covers pack well,1
1122411,1,The JanSport Super Break was a fashionable practical book bag,1
1806558,1,Good leather product,1
1821878,3,The bag had to be lightweight and relatively small but needed to be able to carry a bottle of water an ereader sunscreen etc,0
1663444,2,My computer and cables fit just fine with enough room for my kindle my phone and my wallet,1
1546196,0,Great item Great construction and high quality weather,1
1623394,3,Love the extra zipper compartments,1
1810814,3,Compact light rugged,1
1477213,6,Lightweight and solid design,1
1814794,15,I need sturdy durable waterrepellent bags in which to carry my samples,0
1370149,1,Just the perfect size for me,1
1128365,0,Very spacious for a backpack,1
1788959,1,The isolated pocket is very nice but the additional pockets are kinda small,0
1408276,0,Great way to keep jewelry organized while traveling,1
1733804,1,The Audrey card case is simple in design durable and well made,1
1670920,0,I wish the outside bottle pockets were not zippered and has at least in mesh holder to accommodate my larger reusable water bottle,0
1819821,1,Excellent weekend bag,1
1705866,0,This has been a great bag,1
1591414,1,Overall a good purchase in leather,1
1739046,0,Sunglasses depending on the size fit nicely in the other side compartment or the large outer compartment,1
1371254,2,There is plenty of room for a few days clothes plus sundry travel gear toiletries batteries flash chargers camera accessories,1
1459380,0,It is also very comfortable to carry,1
690629,0,This is a great bag for daily commuting,1
1795354,8,The strap is long and easily adjustable I do not have any complaints about the leather staining clothes yet,1
317628,2,Pros Well constructed and durable,1
1470260,2,Organization could be improved with more interior pockets besides the very small zip compartment on the side,0
1282615,1,Beautiful soft supple leather,1
1200719,7,Good quality and seems durable,1
1604167,0,My computer fits perfectly in the padded sleeve,1
1405290,4,This is a rugged case however it is cheaply designed,0
1682538,2,Love it it slips right over the rolling bag handle,1
1527180,0,A great tote for travel,1
652287,4,I call this compact but it easily holds two 105 X 15 laptops a tablet small purse phone mouse cables and many odds and ends with room for my lunch water and pop,1
781050,1,Here are the positive comments about the bag Nice quality smooth leather not stiff like Coach leather great organization key clip zip pockets cell holder with 3 pen slots attached to it 3 card slots nice large handles 3 accordion pockets to store a few papers or a small planner adjustable strap,1
1370239,2,The compartment for pens and small accessories could have a few more pockets to keep items from bunching at the bottom but overall I found this bag great for air travel,0
1232033,0,Small pocket in front will hold mini iPad,1
1505983,0,But a nice bag,1
1790809,9,There is a laptop sleeve inside,1
1710914,1,Its a great bag,1
1327445,3,This is an attractive well made pack,1
927550,10,Good purchase overall,1
1345898,0,Spacious comfortable practical handbag for everyday use,1
1391146,2,Good construction and value,1
1822613,3,Very well designed to help with organizing stuff an easily packing and unpacking,1
641428,0,The laptop compartment is excellent its easy access at the airport and the bag is well made like other Timbuk2 products I have owned,1
1090417,0,Very nice bag,1
1334016,3,Durable compact yet holds plenty,1
456782,1,Excellent bag strong stitching and supple leather,1
456782,2,Very comfortable to carry,1
1813993,0,Material and engineering seen only in top tier luggage,1
1233160,0,Previous bag was broken wheels,0
484274,2,Overall this a good bag,1
1642289,0,Easy to carry around with good organization,1
742026,2,I am extremely pleased with this computer tote bag,1
659234,0,Lots of pockets inside and outside can carry a water bottle in outside pocket,1
1022150,0,Pros Large internal space Semi rigid bucket helps protect from collapse,1
1654235,0,The strap is adjustable and I am afraid that the buckle is a weak spot and vulnerable to tearing,0
1462897,1,Lots of design features such as distinctive OGIO names that distinguish the luggage from others so someone doesnt pick up the wrong bag at the airport lots of handles top side bottom front to grab lots of compartments etc,1
1628519,1,great organization and versatility,1
1138554,0,Beautiful leather smooth zipper and quality stitching,1
1366718,3,Good bag for my new 156 laptop,1
1609161,3,Great compact organization,1
1802782,3,Blue interior lining is cute,1
1214771,0,Very organizeable four compartments total water bottle pocket,1
1613496,2,Gorgeous bag Easily fits my 17 laptop with enough room left over for a 2nd 15 laptop,1
1109849,0,I really like the credit card organizer I don't even have to carry a wallet,1
993102,0,Main compartment a little narrow by overall very well organized bag,0
1363609,5,Use on business trips good storage easy to carry,1
1502377,0,Overall I am really thrilled with this large but lightweight stylish bag,1
1792708,1,Well made quality and convenience,1
1604111,1,This is a perfect lightweight close to body bag for important things,1
522861,0,ready help to keep me organized while traveling,1
1458512,4,very durable and good quality product,1
1675181,0,The back pocket is very handy for keys and my phone,1
1056359,0,The organization is well done of the compartments,1
470100,8,Has a great look,1
1605923,0,This is a well made quality product,1
1783093,1,I am very easy on luggage,0
1290529,0,My only grip,0
1678320,2,The back flap is convenient for easy retrieval and storage,1
1603218,1,great item quick delivery,1
1523810,2,The external pocket is not deep enough to accommodate a boarding pass or passport,0
1577662,0,Great case for overnight travel or weekend trips,1
1228241,0,Great bag and a great price,1
1476895,3,Great tote nice looking appears very sturdy,1
1557635,2,The backpack is lightweight best feature easy to organize has good compartments and I like the color as well as the monkey,1
1557635,4,Highly recommended for durability workmanship and attractive design,1
619294,1,The item is durable and allows for packing quite a few items for a short trip,1
1804388,0,Very well built for long lasting use,1
1322261,0,Overall excellent product,1
465538,3,I could also retrieve things easily without fully unzipping the top pocket but the TLS requires you to fully unzip the front so that you can access the pockets,0
173005,1,This bag is so versatile Used as a smaller tote or purse,1
1445362,0,So light yet fits so much,1
1773716,10,Plus extra bonus it is large enough for my iPad It has many pockets and beautiful brushed silver pulls,1
1376633,12,It held my iPhone tablet wallet and small misc items securely,1
1785315,1,High quality bag will last a lifetime,1
1622181,0,The only thing I dont particularly like are the zippered interior pockets on the divider they are too tight too really use,0
1326470,3,Great design and reasonable price,1
1759170,1,The size is large enough to hold large wallet glasses cases etc,1
1586939,0,I really like how there is top section and bottom section,1
1402528,14,Overall good value but lacks a shoulder belt,0
1805247,6,I used one large bag for 6 pairs of pants one for two sweatshirt and 6 other tops and one for plus tee shirts scarf gloves,0
335252,0,The pockets vary in size and space which is great for easy access and valuables,1
1630893,0,very useful organizational tool,1
1099874,0,These eBags have made packing much simpler,1
1340528,2,Had problems with camera in the front with original strap,0
1551276,2,Though the bag is on the small side everything I need fits nicely it the different compartments,1
309450,7,Bag holds a lot for a small bag long thick strap for comfort easy to sling over my shoulder,1
1314281,5,The straps do not have a swivel clip on them,0
476935,13,It is also easy to get access to everything,1
1535096,1,I can comfortably carry wallet sunglasses reading glasses makeup bag water bottle and various smaller items such as keys lip balm cigarettes lighter etc,1
541152,5,This back pack is great for school,1
1208709,2,My luggage is so organized and items stay neatly in their cubes,1
108445,3,They are sturdy they can be easily packed for organization in your suitcase,1
1660232,2,I travel quite a bit and the one thing that would make this the ultimate bag would be the addition of a band or strap on the back of the pack where the shoulder straps are that would allow you the ability slide it down the collapsible handle of your carry on luggage,0
1781687,9,Very pleased with this item excellent quality,1
1240090,2,This is a cute small purse,1
1498729,0,It is incredibly durable and it has great compartments for organization,1
1695773,0,Large enough for my Kindle and all the small things I carry spare chargerbattery for my iPhone wallet etc and still room left over,1
1257151,0,The plush inside laptop protection is fantastic,1
1556651,1,It's got plenty of organization also zippered pockets for loose change and other small items,1
1014431,0,This is a great briefcase and it carries a 15 work laptop plus a good number of files very easily,1
1493781,5,Spacious beautiful perfect,1
1742667,6,I store my Macbook Pro in a sleeve a pair of headphones a slim notebook my keys and a few pens,0
1567457,12,Highly recommend this bag and ebags,1
151281,2,The few small zipper compartments are not significant,0
786751,0,Absolute essential for organizing all the various items inside a big duffel bag,1
1736314,0,Very durable and stylish,1
1541100,0,Great bag style and price,1
149135,0,Very handy for travel and organization,1
1453740,0,Overall a good bag for the gym,1
1468502,5,A good choice,1
1637385,4,Great organization with a savvy look,1
220083,0,Great bag Jansport is always a great product,1
1696642,0,Easy way to pack your suitcase,1
1766228,0,Convertible shoulder strapwaist pack but waist belt is not detachable,0
1393603,0,The other compartment is just a huge but functionally smallerthanitlooks space so you need to put items into another bag or packing cube to use it effectively thereby taking up valuable space,0
1269442,1,Great Looks cool great sizeLove it,1
1260435,1,Laptop access is great with this bag as well,1
1800615,5,This is a Great bag,1
1042069,0,Other aspects of the bag hardware stitching zippers and design also seem high quality,1
1042069,2,This is not a huge bag,0
286335,0,This makes the bag heavier than Id like and reduces the available space,0
1463073,0,The separate compartment for chargers is very useful,1
1665650,0,My laptop is average size and has loads of room to spare,1
1719530,0,Good value and simple organization,1
661805,0,This bag is very great Leather quality is very good surface design is very good too Perfect design for a men's essentials carrying,1
616246,3,She has a wide laptop and this fits perfectly,1
1724320,2,I truly love Kipling cosmetic bag great size very styles,1
1511657,2,Seems like a good quality for the fabric and zippers,1
1810825,4,We bought two to replace a big thick bag and two smaller bags,0
1660840,0,Has all kinds of storage to keep everything protected and organized,1
1212009,1,It is very spacious with a softened magnetic cell phone pocket on the Love side which is embroidered not screen printed and a large zipper pocket iPadMagazine size on the back along with another in between size zipper pocket on the back and a trolley sleeve for use with wheeled luggage,1
1339510,3,The case should comfortably fit a 1517 laptop and I travel with a 121,1
1657765,2,Great bag for a great price,1
1695121,1,The handle length is good with 3 locked positions,1
1357054,0,A nice little bag with lots of room and pockets to organize,1
1392933,5,All in all a solid product,1
1194579,0,They are very light weight yet extremely sturdy,1
1224267,0,lets of side compartments for bills and slots for cards great feel and quality,1
1721430,0,Owned Swiss gear before and seams separated at top of straps,0
1057355,0,The locks seem to be well made and are easy to use,1
633920,0,The zippers and a corresponding lock with is a plus,1
1629970,3,It is the perfect wallet it will even hold business size envelopes,1
1313426,0,It is the perfect size wallet,1
183127,0,Love the large size and sturdy material,1
1632296,0,It feels like a durable toiletry bag that is indeed very slim,1
1482487,0,Highly recommend these bags,1
1674224,2,This bag helps me in my neverending quest to stay organized,1
514426,0,The only regret is there are not enough small slots inside for my cell phone just one big zippered compartment,0
1676193,1,Great bag nicely organized and easy to use,1
1529408,1,the leather is great quality very soft and rich,1
1299574,0,Perfect for daily work and an ideal bag for use for weekend travel,1
591991,3,Perfect handbag size with enough room for extra things on a day trip or for work Easy to carry arthritis doesnt complain about this bag,1
1509534,1,I also removed the Velcro strips that attached the flap compartment to the netting area I felt that over time the netting would tear,0
1598668,6,This is a very nice well constructed bag,1
1341434,1,Very nice leather soft flexible natural,1
1609134,4,Good size and lightweight,1
1695576,2,The front compartment kept my camera safe and gave me easy access to it,1
1760884,1,Looks really good easy high quality leather,1
548248,1,Anti theft material a real plus,1
747441,0,This is a beautiful bag and the leather is of high quality,1
1003882,0,It's elegant efficient super mobile,1
1089184,0,The frontzip storage pocket for toiletries was a dream when going through security checkpoints,1
1119366,3,Really comfortable to carry,1
1118391,1,There is enough card slots is what I like,1
1111499,14,Hi quality 100 leather right size and very comfortable,1
1238034,2,This was a great alternative to a travel wallet,1
1245293,0,The bag is absolutely gorgeous durable and spacious,1
1367521,0,They provide so much storage and I have purchased more in different sizes,1
1403549,0,awesome bag fit my 15 laptop perfectly and still have so much space for my thick books,1
1509242,2,Very good bag,1
1520798,1,Attractive leather wallet with many compartments keeps all my cards safely and neatly organized,1
1532006,0,Impressed with thoughtful features expandable and TSA lock and usability,1
1584297,1,Basic protection for my iPad while giving me storage for accessories,1
1604168,0,Overall a fine quality product,1
1614822,4,The wheels are roller blades type wheels instead of the cheap plastic wheels,1
1683254,0,Horrible strength design,0
1635853,8,He carries files an iPad with keyboard rather than a laptop though it has a padded section for one a Kindle chargers and two iPhones in this bag as well as other supplies and does it with real style This bag is functional classy and beautifully made,1
1622097,1,Overall I am very pleased with the eBags Packing Cubes,1
1710688,2,I purchased 2 sets of the small packing cubes,1
1695881,0,I love my little pink padfolio The size is perfect to fit in my purse,1
1727614,8,Very comfortable over the shoulders,1
1686264,0,This bag is just the right size,1
1729835,0,When you don't carry a bottle the compartments are closed up,0
1721628,5,My primary credit and bank cards are in single slot pockets my driver's license in the single window pocket with removal made easy by the finger slot in the window,1
1715746,1,It has great space and organization,1
1765609,0,This is a great looking well made leather traveling kit,1
1792198,0,This is an excellent compact bag with lots of space for essentials,1
1786964,0,Very stylish as well,1
1782831,4,Sleek professional business look,1
883499,4,LOVE This toiletry kit is fantastic It holds so much stuff and keeps it all compact and packs incredible well,1
1730105,6,It does not have two compartment in the bill section,0
1588713,1,Really keeps my suitcase organized,1
1278116,3,Well the tabs broke off the zipper of the main compartment after 2 checked luggage flights,0
1290719,2,A great buy,1
696373,2,The 2nd bag did have small crease indent in the bottom front pocket but if using to store items it did straighten out,0
1364140,1,Fits in locker at gym and has numerous organizational features including separate compartment for shoes,1
1466081,4,Has a lot of extra room for papers,1
1506716,3,The bag is very durable well designed and crafted with ample space and I enjoy the bright color as well,1
1235989,6,The zippers are heavy duty and the construction of the bag is great,1
1586485,3,Just the right size for essentials lightweight and neutral color,1
1305014,5,This is a great bag very organized,1
648878,0,Wonderful accessory to make packing easier,1
1398015,2,Nice small size,1
1726295,0,2 The front flap is a flat pocket itself accessed from the top of the bag via zipper,1
1392994,1,IT IS HUGE The design is well thought out it has several pockets on the exterior that provide excellent utility,1
678306,4,The outside pocket was convenient for passport and boarding passes,1
232248,0,This bag has room for the laptop and its cords a few smaller binders my wallet you name it look forward to traveling with it and getting through airport security organized and ready,1
1666157,0,Light weight and perfect for keeping items together while travelling,1
1362885,9,It is small but will hold a passport large phone cash credit cards a lipstick tissue a pen and keys,0
1496149,0,This bag has a lovely and stylish look,1
1143217,0,The addition of the bottom bar now allows you to stand the bag up on its end and the addition of the clips on the straps makes for more efficient closure,1
1617894,1,Very functional and roomy,1
389757,3,Very comfortable and plenty of pockets to store,1
1385057,0,Having arthritis I need a light bag,0
1579094,4,The only thing I would change would be to have more credit card slots,0
1737560,3,The luggage is very attractive and roomy,1
1584941,0,The fit is very comfortable and the storage is well organized,1
743343,0,We have not broken any wheels,0
1474153,2,I just need my wheels,0
811141,0,Theres a slot in the middle for your phone but I used it in the front pocket with my hotel keyboard and put a full size Kate Spade wallet in the middle section with enough room for Kleenex feminine products and other items,0
1011612,1,Light weight but so far sturdy,1
1189691,0,It will also keep me well organized,1
1797779,0,I use them for items like a cell phone charger extension cord first aid and emergency medicines small travel wallet etc,0
1806960,12,This Jansport Driver 8 bag works really well for my everyday travel to work,1
292577,1,Extremely visible and easily identifiable,1
1307488,0,I have always used a tote bag as a purse,0
1497247,2,I recommend this bag and its great for light travel,1
1664515,0,"The top front ""Digital"" compartment holds both my Kindle and my phablet",1
1257980,0,Overall works very nice moderately durable and much more secure than traditional wallet as it fits nicely in front pants pocket,1
1610355,0,It is a good item,1
1708291,0,There is a nice zipper mesh that will hold paperwork or a file folder,1
1765158,5,It is a well made bag and fine for limited use,1
1104488,0,It is widemouth enough that slipping a laptop in and out does not result in zipper damage to my knuckles The handles are comfortable for either hand or shoulder carrying,1
1608361,4,Its comfortable riding on my shoulder,1
923923,1,The small outside pocket is great for a set of car keys and the elastic with hook inside the main pouch holds house keys with ease,1
923923,2,No more fishing in vain attempts to find them The wallet section is great with easy access to credit cards etc,1
1687847,3,It fits my widescreen laptop perfectly which is no easy task plus it is gorgeous,1
476920,0,Zippers handles and wheels are very heavy duty,1
325984,0,Great experience with ordering from ebags,1
1625500,3,poor design with necessary weight distribution impossible,0
1432957,8,I had been using a padded wheeled ski bag,0
1582607,0,I really like this sturdy case with soft leather,1
1693587,1,And although it is sold as a leather wallet it smells and feels like synthetic material,0
1696767,1,This item was a perfect size for me for travel so I don't have to check a bag,1
1152964,0,Well priced and practical,1
443763,0,The handle length is perfect,1
1546324,0,It holds all my essential office supplies laptop cords mouse etc,1
1806829,1,It's a little on the smaller side but fits my full size iPad along with several small items,0
1349200,4,The smaller unzipperd side pocket works well with a slim cell phone but I have an extended length battery on mine and a protective case so it no longer fits in areas meant for a slim cell phone so the larger zippered side pocket works well for my type of cell phone,0
1611283,6,The bag is the perfect size for her not too large or too small,1
1364677,1,Sometimes I pack like items ie pants tops sweatshirt underwear in a bag requiring larger sized bags,0
264995,4,Great everyday leather laptop excellent impression for business and personal appointments,1
1545965,3,Good bag for an overnight or two trip,1
1324169,2,Bought 3 sizes each works for certain travel occasions,0
1807560,5,Overall quite a good bag,1
1340081,0,Very Compact very good,1
1433446,0,This is so handy for travel,1
1812703,0,Great purchase just the right size for IPad magazines candy water,1
1666940,0,Stylish design at an affordable price,1
802536,10,The stitching on the zippers was very poor quality,0
515920,1,Very good padlock They are TSA,1
1458249,0,There is also extra room for a camera bag or smaller purchases while shopping whatever you need it for,1
1759355,2,A very handy organizational tool if you tend to carry a large tote gym bag or backpack and switch up on a regular basis,1
553460,4,This is my everyday purse,1
1809016,0,Really nice looking sturdy luggage,1
1446830,0,Fantastic organization concepts,1
1800773,4,I Like the bag it is durable and good size easy to carry,1
1661443,10,Keep item in a saddlebag style bag for plane boarding and carry over shoulder while on foot,1
1628173,2,The actual size is a bit small,0
1769076,1,The bags make organization of you clothing and personal items easy to access and keeps the clothing from getting tossed around as you are going through you suitcase,1
184257,5,The punctureproof zipper is clever and a nice feature,1
1548987,0,No commenthave not used bag o any travels,0
1245287,1,Very sturdy attractive rolling backpack,1
1192665,4,It is a lightweight mediumsized crossbody bag that fits the purpose when you are carrying a few extra things that the usual crossbody bag wont fit or when you dont need a larger size eg messenger or tote bag,1
1346913,3,Well made well organized very comfortable in your front pocket and durable,1
1728597,0,This bag fits the bill can be packed and used like a suitcase but conveniently carried on your back,1
1360050,4,The included bladder is easy to clean easy to fill the large opening means it dries quickly,1
638489,3,I like the trim fit,1
1464599,3,The bag is beautiful and very professional looking,1
1198067,2,It's a great item Fashionable and functional both,1
756134,0,I also like the expandable water bottle pocket on the side and the padded pocket for your sunglasses,1
1484253,1,There is no top zipper so make sure to use the inner snaps to protect your possessions,0
1299602,0,Shoulder strap and all the hardware very fashionable and goes nicely with the style of the bag,1
117915,2,It needs a sturdy exterior pocket for a cell phone and keys,0
341003,0,The exterior zip pocket I currently use for my cell phone and keys is already ripping off,0
1735194,1,I generally have a laptop 2 textbooks 4 notebooks a sweatshirt pens and pencils headphones phone charger mouse and a nalgene which fits perfectly in the side pouches and I never feel weighed down or like I have a massive bag on my back,1
1784520,0,I also did not want a removable wheel compartment,0
1689161,2,This bag is greatlooking for a more compact bag for toting my laptop to and from the office,1
1482013,3,Everything you needed rugged a disciplined design concept and lifetime warranty at a lower price,1
477162,2,Otherwise an excellent bag,0
1332011,3,This is a beautiful piece and its durable,1
1390283,1,Holds a medium size standard binder and a 13 folio,0
1771250,0,Three ties completely filled the case,0
530905,3,For more than two days I typically reach for my regular sized garment bag,0
257319,1,Rear storage compartment lacks sufficient number of pockets for organization of small items,0
1618643,0,The seethru netting on top helps you easily check the contents of each cube,1
1451053,2,This is a great handbag,1
1260726,0,The organization that this bag provides is fantastic Very pleased with how streamlined the design is which allows it to fit comfortably on my shoulder even when it is loaded down with my computer files and books,1
1706043,0,This wallet is beautiful pleasure to see and to use everyday,1
1786863,1,Very satisfied with this golf bag,1
1208442,1,A major plus is that the bag is expandable on one side and hard on the other,1
1695626,3,One side pocket holds medical items the other holds keys sunglasses small notepad tote bag with pouch and a few other things,0
1735770,3,The 600 denier makes for a sturdy bag,1
1813023,11,It a good backpack,1
1288071,0,Its the perfect size and weight for my trips to the gym,1
1514251,0,I liked that the main compartment fully unzipped almost to the bottom making it easier to retrieve file folders,1
1762505,0,Would like to reorder same item in a larger size,0
1733436,1,With the expansions the luggage holds a large amount,1
1733436,9,It looks like the perfect size high quality and has great features 2 doors directions printed on the tent bag easy set up,1
1575696,4,It's is a very durable stylish bag,1
1576493,6,I carry my Hipster PDA a few credit cards ID and cash,0
1687985,3,This was a great purchase for me,1
1585087,2,Use it also as storage for any items I may need during the day gum visible pens small first aid kit sun glasses iPod and ear phones etc,0
1415770,7,One down side completely full including the two front pockets it looks a bit bulky thick,0
